Emp ID,Absent,Late,Sick Leave,LOA,Emergency Leave,Maternity Leave,BL,Suspension,Attrition
DH00003,0,0,0,0,0,0,0,0,YES
DH00015,0,0,3,0,0,0,0,0,NO
DH00068,0,0,0,0,0,0,0,0,NO
DH00069,0,19,7,0,0,0,0,0,YES
DH00070,3,0,0,0,0,0,0,0,NO
DH00094,0,0,0,0,0,0,0,0,NO
DH00126,2,1,4,3,0,0,0,0,NO
DH00178,0,1,0,0,0,0,0,0,NO
DH00179,0,0,0,0,0,0,0,0,YES
DH00182,8,20,0,5,0,0,0,0,NO
DH00229,19,4,1,3,0,0,0,0,NO
DH00233,0,0,0,0,0,0,0,0,NO
DH00244,0,2,0,0,0,0,0,0,NO
DH00249,0,1,0,0,0,0,0,0,NO
DH00262,3,0,1,12,0,0,0,0,NO
DH00320,0,0,1,0,0,0,0,0,NO
DH00356,0,1,0,0,0,0,0,0,NO
DH00402,0,1,0,0,0,0,0,0,YES
DH00410,0,0,4,0,0,0,0,0,NO
DH00419,0,0,0,0,0,0,0,0,YES
DH00427,0,0,0,0,0,0,0,0,NO
DH00447,0,0,0,0,0,0,0,0,NO
DH00471,5,0,0,0,0,0,0,0,NO
DH00510,0,0,3,0,0,0,0,0,NO
DH00513,1,0,0,0,0,0,0,0,NO
DH00536,0,2,1,0,0,0,0,0,YES
DH00548,0,0,1,0,1,0,0,0,NO
DH00601,0,1,0,0,0,0,0,0,NO
DH00611,6,0,0,15,0,0,0,0,YES
DH00630,1,0,0,0,0,0,0,0,NO
DH00649,0,0,1,0,0,0,0,0,NO
DH00664,1,8,0,0,0,0,0,0,NO
DH00668,0,0,0,0,0,0,0,0,NO
DH00671,14,0,4,0,0,0,0,0,YES
DH00681,0,6,0,0,1,0,0,0,NO
DH00685,0,7,0,0,0,0,0,0,YES
DH00689,1,0,0,0,0,0,0,0,NO
DH00701,0,0,0,0,0,0,0,0,NO
DH00710,0,1,1,0,0,0,0,0,NO
DH00761,1,0,5,0,0,0,0,0,NO
DH00777,0,3,0,0,0,0,0,0,NO
DH00782,0,0,1,0,0,0,0,0,NO
DH00784,0,0,2,0,0,0,0,0,NO
DH00787,0,1,0,0,0,0,0,0,NO
DH00789,0,0,0,0,0,0,0,0,NO
DH00797,0,0,0,0,0,0,0,0,NO
DH00812,0,1,0,0,0,0,0,0,NO
DH00840,0,0,0,0,0,0,0,0,YES
DH00872,0,0,0,0,0,0,0,0,NO
DH00889,0,0,2,0,0,0,0,1,NO
DH00930,2,11,0,4,0,0,0,0,YES
DH00957,0,0,10,0,0,0,0,0,NO
DH00965,0,4,0,0,0,0,0,0,NO
DH00979,0,0,0,0,0,0,0,0,NO
DH00996,0,2,0,0,0,0,0,0,NO
DH00998,0,4,0,0,0,0,0,0,NO
DH01014,1,0,0,0,0,0,0,0,NO
DH01025,0,0,1,0,0,0,0,0,NO
DH01044,0,1,0,0,0,0,0,0,NO
DH01053,0,0,0,9,0,0,0,0,YES
DH01067,0,9,2,0,0,0,3,0,NO
DH01070,0,0,0,0,0,0,0,0,NO
DH01086,0,0,0,0,0,0,0,0,NO
DH01090,0,0,0,0,0,0,0,0,NO
DH01094,10,35,3,0,0,0,0,0,YES
DH01095,1,0,3,7,0,0,0,0,NO
DH01114,0,1,0,0,0,0,0,0,YES
DH01127,0,0,8,0,0,0,0,0,NO
DH01139,3,6,8,0,0,0,0,0,NO
DH01143,0,3,0,0,0,0,0,0,NO
DH01201,0,0,0,0,0,0,0,0,NO
DH01208,0,0,0,0,0,0,0,0,NO
DH01246,0,0,0,0,0,0,0,0,NO
DH01318,0,1,0,0,0,0,0,0,YES
DH01322,0,2,0,0,0,0,0,0,NO
DH01324,0,0,0,0,0,0,0,0,NO
DH01337,5,0,3,0,0,0,0,0,NO
DH01340,1,2,0,0,0,0,0,0,NO
DH01358,0,0,1,0,1,0,0,0,NO
DH01369,0,0,2,0,0,0,0,0,NO
DH01379,2,0,0,0,0,0,0,0,NO
DH01407,0,0,0,0,0,0,0,0,NO
DH01411,0,0,17,0,0,0,0,0,NO
DH01421,0,1,0,0,0,0,0,0,NO
DH01468,0,0,0,0,0,0,0,0,NO
DH01496,0,0,0,0,0,0,0,0,YES
DH01509,0,0,0,0,0,0,0,0,YES
DH01517,0,3,2,0,0,0,0,0,NO
DH01520,0,0,0,0,0,0,0,0,YES
DH01541,0,0,0,0,0,0,0,0,YES
DH01545,0,0,0,0,0,0,0,0,NO
DH01546,2,0,8,0,0,0,0,0,NO
DH01587,0,0,0,0,0,0,0,0,NO
DH01589,0,0,0,0,0,0,0,0,NO
DH01591,0,0,0,0,0,0,0,0,NO
DH01600,0,4,0,0,0,0,0,0,NO
DH01629,0,48,0,0,0,0,0,0,NO
DH01664,6,0,7,0,0,0,0,0,NO
DH01665,6,0,0,11,0,0,0,0,YES
DH01666,0,0,0,0,0,0,0,0,NO
DH01673,0,7,0,0,0,0,0,0,NO
DH01676,0,0,4,0,0,0,0,0,YES
DH01681,0,9,1,0,0,0,0,0,NO
DH01683,0,0,8,0,0,0,2,0,NO
DH01704,11,0,1,0,0,0,0,0,NO
DH01710,0,0,1,0,0,0,0,0,NO
DH01738,0,0,0,0,0,0,0,0,NO
DH01760,8,4,0,0,0,0,0,0,NO
DH01776,0,32,0,0,0,0,0,0,NO
DH01777,0,0,0,0,0,0,0,0,YES
DH01782,0,0,0,0,0,0,0,0,NO
DH01785,0,1,0,0,0,0,0,0,YES
DH01791,3,0,0,3,0,0,0,0,NO
DH01804,0,0,0,0,0,0,0,0,NO
DH01805,0,0,0,0,0,0,0,0,NO
DH01825,0,7,2,0,8,0,0,0,NO
DH01838,0,4,0,0,0,0,0,0,NO
DH01840,0,3,0,0,0,0,0,0,NO
DH01843,0,1,0,0,0,0,0,0,NO
DH01847,1,1,2,5,1,0,0,0,NO
DH01858,0,0,0,0,0,0,0,0,NO
DH01879,0,3,0,0,1,0,0,0,NO
DH01912,0,5,0,0,0,0,0,0,NO
DH01915,0,0,0,0,0,0,0,0,NO
DH01917,0,0,3,0,0,0,0,0,NO
DH01918,0,0,2,0,1,0,0,0,NO
DH01922,0,0,0,0,0,0,0,0,NO
DH01926,0,0,1,13,0,0,0,0,NO
DH01934,0,0,2,0,0,75,0,0,NO
DH01938,0,0,0,0,0,0,0,0,NO
DH01949,0,0,0,0,0,0,0,0,YES
DH01969,0,0,1,0,0,0,0,0,YES
DH01973,4,0,0,0,0,0,0,0,YES
DH01986,1,0,0,0,0,0,0,0,NO
DH01990,0,0,0,0,0,0,0,0,NO
DH01992,0,0,0,0,0,0,0,0,NO
DH01995,0,1,3,0,0,0,0,0,NO
DH01998,2,13,2,0,1,0,0,0,NO
DH02006,0,0,0,0,0,0,0,13,YES
DH02017,0,0,0,0,0,0,0,0,NO
DH02022,0,1,0,0,0,0,0,0,NO
DH02023,0,0,0,0,0,0,0,0,NO
DH02024,0,0,0,0,0,0,0,0,YES
DH02025,0,2,2,0,0,0,0,0,NO
DH02027,0,0,0,0,0,51,0,0,NO
DH02032,1,0,0,0,0,0,0,0,NO
DH02035,0,1,2,0,0,0,0,0,YES
DH02043,0,3,0,0,0,0,0,0,NO
DH02074,0,1,3,0,0,0,0,0,NO
DH02077,0,67,4,16,0,0,0,0,NO
DH02080,0,0,0,0,0,0,0,0,NO
DH02087,1,0,0,3,0,0,0,0,NO
DH02093,2,0,0,0,0,0,0,0,YES
DH02095,4,0,0,0,0,0,0,0,YES
DH02104,0,0,5,0,1,0,0,0,NO
DH02124,0,0,0,0,0,0,0,0,NO
DH02126,0,3,2,0,0,0,0,0,NO
DH02151,3,1,0,0,1,0,0,0,NO
DH02154,0,0,10,11,0,0,0,0,NO
DH02173,0,19,0,0,0,0,0,0,NO
DH02179,0,0,0,0,0,0,0,0,NO
DH02182,1,2,0,1,0,0,0,0,NO
DH02187,18,6,0,0,0,0,0,0,YES
DH02194,2,1,1,0,0,0,0,0,NO
DH02196,27,1,10,10,0,9,0,0,NO
DH02201,0,0,1,0,0,0,0,0,NO
DH02208,0,1,0,0,0,0,0,0,NO
DH02214,0,0,0,0,0,0,0,0,NO
DH02248,6,1,2,0,0,0,0,0,NO
DH02265,1,0,3,0,0,0,0,0,NO
DH02266,0,0,0,0,0,0,0,0,NO
DH02283,2,20,5,0,0,0,0,0,NO
DH02292,1,10,1,0,0,0,0,0,NO
DH02296,0,0,0,0,0,0,0,0,NO
DH02302,0,1,0,0,0,0,0,0,NO
DH02321,0,0,2,0,1,0,0,0,NO
DH02333,0,0,2,0,0,0,0,0,NO
DH02335,0,0,0,0,0,0,0,0,NO
DH02339,0,12,0,0,0,0,0,0,NO
DH02348,7,3,4,17,0,0,0,0,YES
DH02352,2,0,1,0,0,0,0,0,YES
DH02362,1,1,2,0,0,0,0,0,NO
DH02365,0,0,0,0,0,0,0,0,NO
DH02379,0,1,0,0,0,0,0,0,NO
DH02388,0,0,1,0,0,0,0,0,NO
DH02391,0,0,1,0,1,0,0,0,NO
DH02413,2,3,1,0,0,0,0,0,NO
DH02415,1,0,2,0,0,0,0,0,NO
DH02416,0,0,2,0,0,0,0,0,YES
DH02418,0,0,0,0,2,0,0,0,NO
DH02422,0,0,4,0,0,0,0,0,NO
DH02430,1,1,0,0,0,0,0,0,NO
DH02444,0,1,0,0,1,0,0,0,NO
DH02455,0,0,0,0,0,0,0,0,NO
DH02481,0,0,0,5,0,0,0,0,NO
DH02482,2,9,0,8,0,0,0,0,YES
DH02483,3,1,0,11,0,0,5,0,NO
DH02491,0,0,0,0,0,0,0,0,YES
DH02494,0,0,0,0,0,0,0,0,NO
DH02497,1,6,1,0,0,0,0,0,NO
DH02499,2,1,12,0,0,0,0,0,NO
DH02523,0,0,0,0,0,27,0,0,NO
DH02533,1,0,6,0,2,0,0,0,NO
DH02534,0,1,3,0,0,0,0,0,YES
DH02546,0,5,1,0,0,0,0,0,YES
DH02547,0,3,0,0,0,0,0,0,NO
DH02552,0,0,12,0,0,0,0,0,NO
DH02559,0,0,0,0,0,0,0,0,YES
DH02567,2,0,2,0,1,0,0,0,NO
DH02572,0,11,2,0,0,0,0,0,YES
DH02573,3,1,5,0,0,0,0,0,YES
DH02588,0,0,0,0,0,0,0,0,NO
DH02590,2,2,14,0,0,0,0,0,NO
DH02594,0,3,5,0,0,0,0,0,NO
DH02595,0,0,3,0,0,0,0,0,NO
DH02596,0,0,0,0,0,0,0,0,NO
DH02600,0,30,3,0,0,0,0,0,NO
DH02611,4,1,2,0,2,0,0,0,YES
DH02613,5,1,0,11,0,0,0,0,YES
DH02616,3,3,3,11,0,0,0,0,NO
DH02619,3,0,0,0,0,0,0,0,YES
DH02625,0,7,0,0,0,0,0,0,NO
DH02629,0,1,0,0,0,0,0,0,NO
DH02632,1,1,0,0,0,0,0,0,YES
DH02633,1,2,0,0,0,0,0,0,NO
DH02637,0,0,0,0,0,0,0,0,NO
DH02638,0,0,0,0,0,0,0,0,NO
DH02640,3,1,0,0,0,0,0,0,YES
DH02641,0,0,0,0,0,0,0,0,NO
DH02654,3,0,8,0,1,0,0,0,YES
DH02662,0,0,0,0,0,0,0,0,YES
DH02674,0,1,9,0,0,0,0,0,NO
DH02676,0,5,3,0,0,0,0,0,NO
DH02677,0,2,0,0,0,0,0,0,NO
DH02686,1,2,1,0,0,0,1,0,NO
DH02691,0,0,3,0,0,0,0,0,NO
DH02692,0,0,0,15,0,0,0,0,YES
DH02702,5,3,0,0,0,0,0,0,YES
DH02703,7,1,0,0,0,71,0,0,NO
DH02707,0,3,0,0,0,0,0,0,NO
DH02709,3,0,0,0,0,0,0,0,NO
DH02710,6,0,0,0,0,0,0,0,YES
DH02711,9,2,0,0,0,0,0,0,YES
DH02712,0,0,1,0,1,0,0,0,YES
DH02713,0,0,0,0,0,0,0,0,YES
DH02714,0,0,0,0,0,0,0,0,YES
DH02717,2,0,1,0,0,0,0,0,NO
DH02731,0,4,0,0,0,0,0,0,NO
DH02732,10,1,0,23,0,0,0,0,YES
DH02733,0,1,0,0,0,0,0,0,YES
DH02735,3,0,0,10,0,0,0,0,YES
DH02740,6,2,0,5,0,0,0,0,YES
DH02744,2,2,0,0,0,0,0,0,NO
DH02745,3,2,0,0,0,0,0,0,NO
DH02749,0,0,3,0,0,0,0,0,NO
DH02750,0,0,0,13,0,135,0,0,NO
DH02754,0,0,0,0,0,0,0,0,NO
DH02755,0,1,0,0,0,0,0,0,NO
DH02756,0,0,0,0,0,0,0,0,YES
DH02757,0,1,15,0,0,0,0,0,NO
DH02758,3,0,3,0,0,0,0,0,NO
DH02759,3,1,0,0,0,0,0,0,NO
DH02761,0,0,0,0,0,0,0,0,NO
DH02763,3,0,0,12,0,0,0,0,YES
DH02764,3,0,0,10,0,0,0,0,YES
DH02765,0,0,0,10,0,0,0,0,YES
DH02766,0,0,0,0,0,0,0,16,YES
DH02768,0,0,0,0,0,0,0,0,NO
DH02772,1,0,21,21,0,0,0,0,YES
DH02776,0,1,0,0,0,0,0,0,YES
DH02778,0,0,0,0,0,0,0,0,NO
DH02783,11,0,0,0,0,0,0,0,YES
DH02784,1,0,0,0,0,0,0,0,YES
DH02787,1,0,0,0,0,0,0,0,YES
DH02794,10,12,0,0,0,0,0,0,NO
DH02795,4,1,1,0,0,0,0,0,YES
DH02796,0,0,0,0,0,0,0,0,YES
DH02797,0,0,3,0,0,0,0,0,NO
